"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"5/24/2020, Central Time",613332,592538,628019,14687
SOCO,"5/25/2020, Central Time",603054,591969,618760,15706
SOCO,"5/26/2020, Central Time",579756,589076,608632,28876
SOCO,"5/27/2020, Central Time",575142,568910,610039,34897
SOCO,"5/28/2020, Central Time",639037,601100,670173,31136
SOCO,"5/29/2020, Central Time",649006,614452,673664,24658
SOCO,"5/30/2020, Central Time",631966,581568,642662,10696
SOCO,"5/31/2020, Central Time",609706,557403,627113,17407
SOCO,"6/1/2020, Central Time",647039,619567,653848,6809
SOCO,"6/2/2020, Central Time",672165,647963,682975,10810
SOCO,"6/3/2020, Central Time",686809,647206,698349,11540
SOCO,"6/4/2020, Central Time",701635,655191,713124,11489
SOCO,"6/5/2020, Central Time",684983,675089,703781,18798
SOCO,"6/6/2020, Central Time",645026,631605,659314,14288
SOCO,"6/7/2020, Central Time",646444,617217,666012,19568
SOCO,"6/8/2020, Central Time",710100,674162,725055,14955
SOCO,"6/9/2020, Central Time",715552,690596,734430,18878
SOCO,"6/10/2020, Central Time",719954,690358,745517,25563
SOCO,"6/11/2020, Central Time",703240,684598,718320,15080
SOCO,"6/12/2020, Central Time",678935,675346,688546,9611
SOCO,"6/13/2020, Central Time",643853,610401,654881,11028
SOCO,"6/14/2020, Central Time",618946,593370,633889,14943
SOCO,"6/15/2020, Central Time",632234,619266,644233,11999
SOCO,"6/16/2020, Central Time",595615,596724,620681,25066
SOCO,"6/17/2020, Central Time",593208,577020,614915,21707
SOCO,"6/18/2020, Central Time",642850,608477,663446,20596
SOCO,"6/19/2020, Central Time",680592,648889,704136,23544
SOCO,"6/20/2020, Central Time",684193,645925,696873,12680
SOCO,"6/21/2020, Central Time",675641,657757,686003,10362
SOCO,"6/22/2020, Central Time",693076,684929,698864,5788
SOCO,"6/23/2020, Central Time",701815,681119,713465,11650
SOCO,"6/24/2020, Central Time",674425,663914,687078,12653
SOCO,"6/25/2020, Central Time",688079,631833,712700,24621
SOCO,"6/26/2020, Central Time",684512,676925,713206,28694
SOCO,"6/27/2020, Central Time",651526,649509,685688,34162
SOCO,"6/28/2020, Central Time",711732,664518,736825,25093
SOCO,"6/29/2020, Central Time",785582,761828,796916,11334
SOCO,"6/30/2020, Central Time",755417,752313,766261,10844
SOCO,"7/1/2020, Central Time",692516,685705,714118,21602
SOCO,"7/2/2020, Central Time",724209,716962,743215,19006
SOCO,"7/3/2020, Central Time",737362,701253,744554,7192
SOCO,"7/4/2020, Central Time",698816,689629,723558,24742
SOCO,"7/5/2020, Central Time",693875,683140,720010,26135
SOCO,"7/6/2020, Central Time",697802,684041,734622,36820
SOCO,"7/7/2020, Central Time",705770,675716,734458,28688
SOCO,"7/8/2020, Central Time",727804,691495,754883,27079
SOCO,"7/9/2020, Central Time",759085,734491,791153,32068
SOCO,"7/10/2020, Central Time",794711,739585,811865,17154
SOCO,"7/11/2020, Central Time",757878,724716,771587,13709
SOCO,"7/12/2020, Central Time",692701,713030,721044,28343
SOCO,"7/13/2020, Central Time",767799,737276,793150,25351
SOCO,"7/14/2020, Central Time",802737,774788,827532,24795
SOCO,"7/15/2020, Central Time",790451,784329,820222,29771
SOCO,"7/16/2020, Central Time",799565,767159,828155,28590
SOCO,"7/17/2020, Central Time",827110,792285,847740,20630
SOCO,"7/18/2020, Central Time",793552,766233,809719,16167
SOCO,"7/19/2020, Central Time",785624,761553,805809,20185
SOCO,"7/20/2020, Central Time",843282,819829,876782,33500
SOCO,"7/21/2020, Central Time",807292,782769,843639,36347
SOCO,"7/22/2020, Central Time",799230,783432,836246,37016
SOCO,"7/23/2020, Central Time",803007,783938,831036,28029
SOCO,"7/24/2020, Central Time",753071,722527,780116,27045
SOCO,"7/25/2020, Central Time",703248,704046,729510,26262
SOCO,"7/26/2020, Central Time",711575,685090,742085,30510
SOCO,"7/27/2020, Central Time",784353,757780,812694,28341
SOCO,"7/28/2020, Central Time",774038,754700,806354,32316
SOCO,"7/29/2020, Central Time",753613,721925,787768,34155
SOCO,"7/30/2020, Central Time",784642,749580,805502,20860
SOCO,"7/31/2020, Central Time",810075,771915,832206,22131
SOCO,"8/1/2020, Central Time",766385,734910,786955,20570
SOCO,"8/2/2020, Central Time",756858,721588,769211,12353
SOCO,"8/3/2020, Central Time",770789,764276,786551,15762
SOCO,"8/4/2020, Central Time",772147,747222,776881,4734
SOCO,"8/5/2020, Central Time",789738,757337,797362,7624
SOCO,"8/6/2020, Central Time",792819,762433,805926,13107
SOCO,"8/7/2020, Central Time",782489,757911,793961,11472
SOCO,"8/8/2020, Central Time",756763,734669,761299,4536
SOCO,"8/9/2020, Central Time",769837,737174,780143,10306
SOCO,"8/10/2020, Central Time",780362,762004,806051,25689
SOCO,"8/11/2020, Central Time",787657,776794,809758,22101
SOCO,"8/12/2020, Central Time",792236,774069,803428,11192
SOCO,"8/13/2020, Central Time",793515,761074,811957,18442
SOCO,"8/14/2020, Central Time",741046,739144,767421,26375
SOCO,"8/15/2020, Central Time",707850,693518,730225,22375
SOCO,"8/16/2020, Central Time",732111,694257,740658,8547
SOCO,"8/17/2020, Central Time",777458,753259,788658,11200
SOCO,"8/18/2020, Central Time",767642,737931,775700,8058
SOCO,"8/19/2020, Central Time",747682,724633,749304,1622
SOCO,"8/20/2020, Central Time",691207,692770,707550,16343
SOCO,"8/21/2020, Central Time",679022,652522,694568,15546
SOCO,"8/22/2020, Central Time",664361,629030,692457,28096
SOCO,"8/23/2020, Central Time",670527,642719,700260,29733
SOCO,"8/24/2020, Central Time",711974,700575,743267,31293
SOCO,"8/25/2020, Central Time",708775,695060,741777,33002
SOCO,"8/26/2020, Central Time",765658,739776,788358,22700
SOCO,"8/27/2020, Central Time",786120,778798,809868,23748
SOCO,"8/28/2020, Central Time",760839,743651,778381,17542
SOCO,"8/29/2020, Central Time",718565,699487,743930,25365
SOCO,"8/30/2020, Central Time",730804,718425,738963,8159
SOCO,"8/31/2020, Central Time",759561,732211,763604,4043
SOCO,"9/1/2020, Central Time",801030,778213,798598,-2432
SOCO,"9/2/2020, Central Time",814142,788892,825948,11806
SOCO,"9/3/2020, Central Time",809728,786942,822193,12465
SOCO,"9/4/2020, Central Time",804829,774512,824940,20111
SOCO,"9/5/2020, Central Time",721270,697015,732261,10991
SOCO,"9/6/2020, Central Time",646991,620174,655873,8882
SOCO,"9/7/2020, Central Time",641702,621968,656738,15036
SOCO,"9/8/2020, Central Time",700980,678011,710447,9467
SOCO,"9/9/2020, Central Time",708698,681483,726272,17574
SOCO,"9/10/2020, Central Time",738999,711074,764753,25754
SOCO,"9/11/2020, Central Time",759110,724947,778740,19630
SOCO,"9/12/2020, Central Time",716650,690405,735778,19128
SOCO,"9/13/2020, Central Time",700592,667453,721461,20869
SOCO,"9/14/2020, Central Time",729499,702395,757081,27582
SOCO,"9/15/2020, Central Time",645090,624097,676702,31612
SOCO,"9/16/2020, Central Time",547051,571639,589684,42633
SOCO,"9/17/2020, Central Time",598220,605892,639059,40839
SOCO,"9/18/2020, Central Time",616615,590233,657813,41198
SOCO,"9/19/2020, Central Time",536703,521019,558783,22080
SOCO,"9/20/2020, Central Time",496135,496873,516722,20587
SOCO,"9/21/2020, Central Time",528246,524547,549149,20903
SOCO,"9/22/2020, Central Time",537199,517818,560918,23719
SOCO,"9/23/2020, Central Time",571708,520932,601831,30123
SOCO,"9/24/2020, Central Time",582367,565607,608244,25877
SOCO,"9/25/2020, Central Time",609834,592783,626003,16169
SOCO,"9/26/2020, Central Time",597489,561631,613248,15759
SOCO,"9/27/2020, Central Time",601363,564418,614262,12899
SOCO,"9/28/2020, Central Time",660716,625462,663862,3146
SOCO,"9/29/2020, Central Time",555742,541225,583972,28230
SOCO,"9/30/2020, Central Time",537835,518736,562763,24928
SOCO,"10/1/2020, Central Time",557275,534244,583507,26232
SOCO,"10/2/2020, Central Time",523251,512126,545521,22270
SOCO,"10/3/2020, Central Time",489066,470907,515438,26372
SOCO,"10/4/2020, Central Time",484892,476973,513756,28864
SOCO,"10/5/2020, Central Time",545786,534158,564869,19083
SOCO,"10/6/2020, Central Time",570071,550599,581532,11461
SOCO,"10/7/2020, Central Time",618494,584661,621104,2610
SOCO,"10/8/2020, Central Time",620907,613773,621865,958
SOCO,"10/9/2020, Central Time",598428,585256,605235,6807
SOCO,"10/10/2020, Central Time",583928,561613,591781,7853
SOCO,"10/11/2020, Central Time",577211,557606,585697,8486
SOCO,"10/12/2020, Central Time",626740,607823,632857,6117
SOCO,"10/13/2020, Central Time",618630,603735,627257,8627
SOCO,"10/14/2020, Central Time",581262,560402,595996,14734
SOCO,"10/15/2020, Central Time",598537,578334,597653,-884
SOCO,"10/16/2020, Central Time",547368,526476,549840,2472
SOCO,"10/17/2020, Central Time",493664,487507,505922,12258
SOCO,"10/18/2020, Central Time",500900,481630,511542,10642
SOCO,"10/19/2020, Central Time",565084,547019,586614,21530
SOCO,"10/20/2020, Central Time",582771,555873,601979,19208
SOCO,"10/21/2020, Central Time",604923,575468,617864,12941
SOCO,"10/22/2020, Central Time",610373,591675,619054,8681
SOCO,"10/23/2020, Central Time",609006,586805,617645,8639
SOCO,"10/24/2020, Central Time",549469,535259,574179,24710
SOCO,"10/25/2020, Central Time",528916,504460,556284,27368
SOCO,"10/26/2020, Central Time",573191,546543,610624,37433
SOCO,"10/27/2020, Central Time",588955,584168,626260,37305
SOCO,"10/28/2020, Central Time",608694,594394,634167,25473
SOCO,"10/29/2020, Central Time",544973,554019,579616,34643
SOCO,"10/30/2020, Central Time",486081,514759,524132,38051
SOCO,"10/31/2020, Central Time",480416,482764,505408,24992
SOCO,"11/1/2020, Central Time",495911,482722,524292,28381
SOCO,"11/2/2020, Central Time",555098,559947,579387,24289
SOCO,"11/3/2020, Central Time",582593,578402,600230,17637
SOCO,"11/4/2020, Central Time",562420,548950,585064,22644
SOCO,"11/5/2020, Central Time",549533,531511,567490,17957
SOCO,"11/6/2020, Central Time",540482,524055,560297,19815
SOCO,"11/7/2020, Central Time",511778,493191,524930,13152
SOCO,"11/8/2020, Central Time",515371,496213,526998,11627
SOCO,"11/9/2020, Central Time",572380,549798,578248,5868
SOCO,"11/10/2020, Central Time",581648,575573,584198,2550
SOCO,"11/11/2020, Central Time",607318,596720,608383,1065
