category,Net Generation (MWh)
Thu Jul 01 2021,12355797.577
Sun Aug 01 2021,12937615.413
Wed Sep 01 2021,9963227.272
Fri Oct 01 2021,9670538.336
Mon Nov 01 2021,9563854.467
Wed Dec 01 2021,9753555.997
Sat Jan 01 2022,11142580.613
Tue Feb 01 2022,8870914.243
Tue Mar 01 2022,8964586.027
Fri Apr 01 2022,9209029.034
Sun May 01 2022,10544873.316
Wed Jun 01 2022,12766058.477
Fri Jul 01 2022,12484725.041
Mon Aug 01 2022,12411090.644
Thu Sep 01 2022,10821003.877
Sat Oct 01 2022,8937969.894
Tue Nov 01 2022,9649804.096
Thu Dec 01 2022,10681997.493
Sun Jan 01 2023,9996319.206
Wed Feb 01 2023,8548038.458
Wed Mar 01 2023,9321520.156
Sat Apr 01 2023,9721504.553
Mon May 01 2023,11044765.899
Thu Jun 01 2023,11489657.064
Sat Jul 01 2023,12984194.135
Tue Aug 01 2023,13854858.518
Fri Sep 01 2023,11422833.075
Sun Oct 01 2023,10243258.095
Wed Nov 01 2023,9671002.631
Fri Dec 01 2023,10923511.467
